Price,employees,CEO_age,intra_day_up,intra_week_up,intra_month_up,Symbol,ipoDate,sector,IPO_weekday,firstday_volume,inweek_volume,inmonth_volume,SP500_lastweek_return
6.0,11.0,63.0,1,0,0,AGRX,2014-05-23,Healthcare,4,3329708.0,1003214.4100000001,6975850.7419,0.0009226096068248868
11.0,90.0,50.0,1,0,0,HRTG,2014-05-23,Financial Services,4,2207396.0,570848.81,3277834.1462000003,0.0009226096068248868
4.0,56.0,61.0,0,0,0,SDPI,2014-05-23,Energy,4,1125600.0,2196200.0,3777700.0,0.0009226096068248868
19.0,50122.0,49.0,0,0,0,JD,2014-05-22,Consumer Cyclical,3,84449677.0,67836754.95,196568448.36909992,-0.0003558756709453841
4.75,72.0,54.0,0,0,0,TGEN,2014-05-20,Basic Materials,1,19745.0,578138.7851,2199902.5410000007,-0.0004107090306406975
9.0,361.0,68.0,0,0,0,TRUE,2014-05-16,Technology,4,6569062.0,2238964.804800001,14359867.465699999,-1.0785731687112943e-05
22.0,876.0,39.0,0,0,0,JMEI,2014-05-16,Consumer Cyclical,4,15923731.0,6638916.77,43191592.452,-1.0785731687112943e-05
18.0,107.0,62.0,1,1,0,BWFG,2014-05-15,Financial Services,3,3000.0,33889658.92909997,164933462.43927416,0.0002562861560318565
9.0,614.0,51.0,0,0,0,ZEN,2014-05-15,Technology,3,8424569.0,6925194.7700000005,12403025.394100001,0.0002562861560318565
91.0,275.0,67.0,1,1,1,SFBS,2014-05-14,Financial Services,2,2797896.0,3722184.667400001,6519463.434799994,0.00030963113785539446
9.0,1415.0,41.0,0,0,0,TOUR,2014-05-09,Consumer Cyclical,4,6222274.0,2279521.564,13480427.443800004,-0.00040665180981004834
23.0,0.0,71.0,1,1,1,PBFX,2014-05-09,Energy,4,9633912.0,1389842.8099999998,4349705.305899999,-0.00040665180981004834
14.0,1178.0,44.0,0,1,0,CMCM,2014-05-08,Technology,3,7691734.0,3455459.0201000003,22340008.435499996,-0.0001962888746654956
19.0,3107.493309545049,57.46021093000968,1,0,0,LPG,2014-05-08,Industrials,3,3735483.0,1026404.0160000003,5589499.9728999995,-0.0001962888746654956
10.0,77.0,54.0,0,0,0,ALDR,2014-05-08,Healthcare,3,1950841.0,457134.1,4358225.790000001,-0.0001962888746654956
21.0,3107.493309545049,45.0,1,1,0,GLOP,2014-05-07,Energy,2,4693801.0,1600374.2200999998,4583823.857999999,0.0006800514131205526
10.0,90.0,62.0,1,1,1,SCYX,2014-05-02,Healthcare,4,847504.0,254025.319,761565.8289000001,0.00044538185028116954
11.0,1130.0,57.0,0,1,1,FRSH,2014-05-02,Consumer Cyclical,4,4446775.0,2207964.3399,9648089.2718,0.00044538185028116954
8.0,2.0,50.0,1,0,0,ALDX,2014-05-02,Healthcare,4,540615.0,107190.19970000004,245452.64639999997,0.00044538185028116954
19.0,700.0,50.0,1,1,1,ARES,2014-05-02,Financial Services,4,7698177.0,3457792.724,8403037.9056,0.00044538185028116954
17.0,50200.0,63.0,0,1,1,MIK,2014-06-27,Consumer Cyclical,4,18023399.0,3752809.5100999996,14728269.545099989,0.0002956082921796404
25.0,0.0,59.0,0,0,0,NEP,2014-06-27,Utilities,4,11796631.0,4416953.539999999,12155591.638599997,0.0002956082921796404
17.0,13000.0,58.0,1,1,1,SERV,2014-06-26,Industrials,3,13047166.0,4104310.2600000002,14055306.780900005,0.0011253243896258386
24.0,718.0,47.0,0,0,0,GPRO,2014-06-26,Technology,3,45837325.0,157312543.44980007,348119644.61570007,0.0011253243896258386
7.0,1217.0,75.0,0,0,0,AMPH,2014-06-25,Healthcare,2,4159688.0,2844664.5699999994,4901851.315599999,0.001604103397866636
12.0,997.0,60.0,1,0,0,MTLS,2014-06-25,Technology,2,6074896.0,5885254.26,10747703.651600005,0.001604103397866636
12.0,1513.0,49.0,0,0,0,XNET,2014-06-24,Technology,1,10653232.0,7905382.370000001,15929942.802499996,0.0010239882487227403
14.0,37.0,57.0,0,0,1,ARDX,2014-06-19,Healthcare,3,1557528.0,308727.90000000014,1078285.0588999996,0.0006448944681179958
16.0,13.0,64.0,1,1,1,ZFGN,2014-06-19,Healthcare,3,3289493.0,1799641.8101,2764022.1090999986,0.0006448944681179958
26.0,0.0,60.0,1,1,1,VNOM,2014-06-18,Energy,2,7080585.0,2168057.074,4058042.3175999993,0.00042725701103152325
20.0,0.0,51.0,1,1,1,FELP,2014-06-18,Basic Materials,2,16015429.0,3762490.4299999992,7948245.7069999995,0.00042725701103152325
23.0,181.0,57.46021093000968,1,1,1,CCS,2014-06-18,Consumer Cyclical,2,4241818.0,944465.7599999999,2302798.7270000014,0.00042725701103152325
11.0,226.0,65.0,1,0,1,ASPN,2014-06-13,Basic Materials,4,3337279.0,871702.6162,1932498.9973000004,0.0006220647225243514
9.0,632.0,55.0,0,0,1,MOBL,2014-06-12,Technology,3,12544999.0,3539955.0296,12923443.076700008,0.000444507844411587
19.0,2129.0,57.46021093000968,1,0,1,TSE,2014-06-12,Consumer Cyclical,3,5453896.0,2610626.102,6287731.976900003,0.000444507844411587
16.0,5.0,43.0,0,0,0,NAO,2014-06-12,Industrials,3,290.0,345.056,10591116.5478,0.000444507844411587
8.0,13.0,62.0,0,0,0,RDUS,2014-06-06,Healthcare,4,1719931.0,586354.27,2110595.7306999997,0.0029434427989179423
43.0,850.0,61.0,0,0,0,ANET,2014-06-06,Technology,4,7255086.0,4587884.6152,13221227.623399993,0.0029434427989179423
20.5,8000.0,58.0,1,0,0,CTLT,2014-07-31,Healthcare,3,14208657.0,5645901.510000001,19186970.3631,-0.003826359491984669
14.0,381.0,54.0,0,0,0,HQY,2014-07-31,Technology,3,5732286.0,1930874.1,4637191.849600001,-0.003826359491984669
8.0,4.0,65.0,0,0,0,MRNS,2014-07-31,Healthcare,3,622183.0,196238.5699,924800.0622,-0.003826359491984669
23.0,9333.0,57.46021093000968,1,1,0,SYF,2014-07-31,Financial Services,3,56483860.0,27404209.560000002,64976682.61700003,-0.003826359491984669
24.0,0.0,72.0,1,1,1,WLKP,2014-07-30,Basic Materials,2,11547712.0,1994407.1120000004,3970233.904100002,-0.00025273228127501275
18.0,137.0,48.0,1,1,1,SPKE,2014-07-29,Utilities,1,5253192.0,911331.5072999999,1926757.9542999994,-0.0005928984593178541
15.0,4460.0,53.0,0,0,0,LOCO,2014-07-25,Consumer Cyclical,4,23673589.0,96406000.323,164404464.1829,-0.00021139258090450776
13.0,58.0,55.0,0,1,0,OCUL,2014-07-25,Healthcare,4,1877770.0,823011.609,2303468.1150999987,-0.00021139258090450776
18.0,1386.0,60.0,1,1,1,OEC,2014-07-25,Basic Materials,4,7979538.0,3897303.2099999995,7559284.865999999,-0.00021139258090450776
16.0,3700.0,57.46021093000968,0,0,0,WMS,2014-07-25,Consumer Cyclical,4,5148596.0,1888508.5800000005,5408348.130099996,-0.00021139258090450776
11.0,146.0,52.0,0,0,0,XENT,2014-07-24,Healthcare,3,3201280.0,589388.1699999999,2291105.6300000004,0.00108149823293781
11.0,2680.0,54.0,1,1,1,TSQ,2014-07-24,Consumer Cyclical,3,5550042.0,3054057.4599000006,5363122.539500004,0.00108149823293781
6.0,25.0,50.0,1,1,0,PFNX,2014-07-24,Healthcare,3,11933714.20209696,9200985.52575441,26558084.22784357,0.00108149823293781
12.0,27.0,57.46021093000968,0,1,0,IMDZ,2014-07-24,Healthcare,3,1960783.0,445257.75190000003,913633.1830000005,0.00108149823293781
5.0,1095.0,45.0,1,1,1,MTBC,2014-07-23,Technology,2,1877823.0,632543.0630000002,1745434.1092999994,0.0007357480064585602
10.0,3322.0,54.0,0,0,0,GLOB,2014-07-18,Technology,4,4147881.0,848119.6400000001,2424652.5274,0.00041190031978160277
18.0,25.0,69.0,0,0,0,SAGE,2014-07-18,Healthcare,4,5817650.0,778595.4049,1879347.8713,0.00041190031978160277
25.0,0.0,57.46021093000968,1,1,1,TERP,2014-07-18,Utilities,4,16351910.0,4974957.09,12940284.979500007,0.00041190031978160277
10.0,335.0,53.0,0,0,1,TRUP,2014-07-18,Financial Services,4,4233470.0,1881360.5259999998,4926167.301999996,0.00041190031978160277
10.0,55.0,55.0,1,0,0,CDNA,2014-07-17,Healthcare,3,1595625.0,376829.22,648768.7293000001,-0.00039105220574294934
6.25,46.0,69.0,0,0,0,IRMD,2014-07-16,Healthcare,2,902726.0,252985.94869999992,748523.9731999997,0.00029255128608577215
14.0,171.0,57.46021093000968,1,1,1,ISTR,2014-07-01,Financial Services,1,795844.0,508176.75999999995,731994.9178000009,0.0007667478420237961
6.0,6.0,61.0,0,0,0,NERV,2014-07-01,Healthcare,1,2886766.0,1034122.5300000003,5135451.618899998,0.0007667478420237961
16.0,37.0,62.0,0,0,0,OTIC,2014-08-13,Healthcare,2,6209247.0,1358744.1598999999,4270419.894199998,0.0005906992410548309
11.0,3650.0,56.0,1,1,0,RYI,2014-08-08,Industrials,4,6666653.0,1281900.9999000002,5606210.782000001,-0.0027663397280752416
11.0,238.0,52.0,1,1,1,ICD,2014-08-08,Energy,4,4121479.0,2073604.4200000004,5217967.735299998,-0.0027663397280752416
20.0,3107.493309545049,54.0,1,1,1,HMLP,2014-08-07,Industrials,3,6087481.0,2443536.7099999995,3598277.4302000008,-0.004404981108354284
11.0,68.0,62.0,0,0,0,TTOO,2014-08-07,Healthcare,3,2855890.0,766498.743,2697019.108599999,-0.004404981108354284
6.0,13.0,54.0,0,0,0,EARS,2014-08-06,Healthcare,2,174646.0,65343.25000000001,255232.13699999993,-0.004258004956096485
12.5,40.0,57.46021093000968,1,1,1,GWGH,2014-09-25,Financial Services,3,283383.0,68103.0808,132373.959,-0.0023452216468306136
16.0,4700.0,55.0,1,1,1,TVPT,2014-09-25,Consumer Cyclical,3,19126104.0,8039261.659899999,20371446.723899998,-0.0023452216468306136
18.0,70.0,57.46021093000968,1,1,1,MDLY,2014-09-24,Financial Services,2,4739188.0,1336172.7200000002,3614979.2339,0.0010337995902088837
12.0,8805.0,67.0,1,1,1,SFS,2014-09-24,Consumer Defensive,2,12221961.0,4755030.180000002,9117936.419100001,0.0010337995902088837
7.0,12275.0,58.0,1,1,1,ICL,2014-09-24,Basic Materials,2,1050.0,22845.1,119397.21499999997,0.0010337995902088837
16.0,487.0,53.0,0,0,0,CYBR,2014-09-24,Technology,2,21819852.0,36379502.5581,75985796.03990003,0.0010337995902088837
21.5,18050.0,65.0,1,1,0,CFG,2014-09-24,Financial Services,2,60456032.0,26908579.542999998,65094467.97260001,0.0010337995902088837
13.5,55893.0,57.46021093000968,1,1,1,AVAL,2014-09-23,Financial Services,1,24245820.0,15814382.49,24377957.339999996,-0.00018657797510693693
68.0,22072.0,50.0,0,0,0,BABA,2014-09-19,Consumer Cyclical,4,271879435.0,209996732.44999996,658347847.2111,0.0010575894269088432
6.0,24.0,55.0,0,1,1,FOMX,2014-09-18,Healthcare,3,16000277.0,4625504.3316,8233100.289700001,0.001646638569476571
13.0,49.0,39.0,0,0,1,PRQR,2014-09-18,Healthcare,3,6760553.0,1833535.7689,4897203.236300001,0.001646638569476571
12.0,63.0,65.0,0,0,0,RWLK,2014-09-12,Healthcare,4,12778627.0,28975312.2726,41990506.64879999,-0.0010787481751915223
7.0,53.0,60.0,1,1,1,AFMD,2014-09-12,Healthcare,4,3576217.0,1214642.3722,2166720.7516000005,-0.0010787481751915223
16.0,1800.0,52.0,1,1,0,BOOT,2014-10-30,Consumer Cyclical,3,6884159.0,1587492.36,4163392.1452000006,0.0039056813911273786
17.0,90.0,57.46021093000968,1,1,1,FSAM,2014-10-30,Financial Services,3,11933714.20209696,9200985.52575441,26558084.22784357,0.0039056813911273786
23.0,0.0,54.0,0,0,0,SHLX,2014-10-29,Energy,2,33437095.0,6076395.45,17005391.634799995,0.005812018954266022
15.0,93.0,75.0,0,0,0,SIEN,2014-10-29,Healthcare,2,3273201.0,7853886.823000001,9559939.570099995,0.005812018954266022
21.64,47.0,57.46021093000968,0,0,0,DBVT,2014-10-22,Healthcare,2,1239722.0,1205141.8299999998,2574945.282199998,0.003989349876612306
10.0,12.0,60.0,0,0,1,PRTO,2014-10-22,Healthcare,2,679352.0,546244.5655000001,1452875.5045999992,0.003989349876612306
19.0,1513.0,59.0,0,0,0,ZAYO,2014-10-17,Technology,4,8178604.0,2502647.39,11958950.312300004,-0.006010388851921289
11.0,15.0,51.0,1,0,0,ATRA,2014-10-16,Healthcare,3,1416103.0,405510.98380000005,1875562.8843000005,-0.005356454150404612
21.0,10.0,45.0,1,1,1,FWP,2014-10-15,Healthcare,2,4063212.0,1257028.8099,3243777.6045999983,-0.0075380299703020305
18.0,1469.0,65.0,1,1,1,GWB,2014-10-15,Financial Services,2,6984912.0,1501522.34,7153994.3852,-0.0075380299703020305
16.0,10961.0,60.0,0,0,0,PLAY,2014-10-10,Consumer Cyclical,4,7045090.0,1481421.9246999999,5230235.5001,-0.0028816195604539313
13.0,1018.0,63.0,0,0,0,DPLO,2014-10-10,Healthcare,4,8050530.0,2904054.688,9739302.060499996,-0.0028816195604539313
25.0,719.0,54.0,0,0,0,HUBS,2014-10-09,Technology,3,8259662.0,2980197.213000001,6449715.332399999,-0.0031384122256443714
17.0,0.0,61.0,1,1,1,USDP,2014-10-09,Industrials,3,5280399.0,1890424.8699999996,3863731.0315000014,-0.0031384122256443714
